id_transacao;escore_risco;desfecho;valor;cliente
TX-100000;426;0;90,96;CLI-02426
TX-100001;428;aprovada;721,73;CLI-02025
TX-100002;456;0;1.954,78;CLI-00525
TX-100003;687;0;234,34;CLI-02225
TX-100004;481;aprovada;435,27;CLI-02688
TX-100005;439;0;254,20;CLI-02292
TX-100006;541;0;774,97;CLI-01476
TX-100007;641;aprovada;951,51;CLI-02218
TX-100008;677;aprovada;90,45;CLI-01852
TX-100009;747;0;142,12;CLI-02504
TX-100010;625;0;845,58;CLI-02657
TX-100011;558;aprovada;282,38;CLI-02759
TX-100012;562;aprovada;1.004,73;CLI-01893
TX-100013;140;aprovada;499,59;CLI-00095
TX-100014;572;0;301,10;CLI-02772
TX-100015;195;aprovada;208,15;CLI-01226
TX-100016;528;aprovada;146,97;CLI-00966
TX-100017;635;0;992,07;CLI-00836
TX-100018;577;aprovada;655,51;CLI-00706
TX-100019;731;chargeback;873,78;CLI-02115
TX-100020;613;0;158,86;CLI-02998
TX-100021;386;aprovada;860,24;CLI-02821
TX-100022;262;aprovada;2.529,86;CLI-01429
TX-100023;615;aprovada;328,79;CLI-01697
TX-100024;514;aprovada;228,79;CLI-00417
TX-100025;500;0;826,88;CLI-01034
TX-100026;841;0;75,71;CLI-01815
TX-100027;563;aprovada;678,94;CLI-02296
TX-100028;528;0;330,50;CLI-00697
TX-100029;392;aprovada;858,64;CLI-00190
TX-100030;603;0;211,78;CLI-00132
TX-100031;663;aprovada;215,03;CLI-02459
TX-100032;649;aprovada;954,06;CLI-02319
TX-100033;597;0;687,84;CLI-01427
TX-100034;428;0;148,90;CLI-00801
TX-100035;338;aprovada;2.121,55;CLI-02023
TX-100036;445;0;193,80;CLI-01246
TX-100037;445;0;1.188,53;CLI-00751
TX-100038;322;aprovada;762,89;CLI-00425
TX-100039;513;0;270,69;CLI-02492
TX-100040;532;0;443,22;CLI-00641
TX-100041;528;0;252,93;CLI-00729
TX-100042;556;0;276,59;CLI-01259
TX-100043;344;aprovada;3.292,43;CLI-01435
TX-100044;419;0;480,23;CLI-01401
TX-100045;504;aprovada;195,76;CLI-00375
TX-100046;533;0;166,64;CLI-01635
TX-100047;245;0;456,33;CLI-02026
TX-100048;718;aprovada;643,77;CLI-02160
TX-100049;582;0;482,08;CLI-01232
TX-100050;366;0;355,75;CLI-02904
TX-100051;416;0;475,18;CLI-00710
TX-100052;491;0;130,96;CLI-01424
